distric_code,district_name,region_code,region_name,center_code,center_name
1,Tunis 1,1010,Sidi Hassine,1087,E.P.BORJ CHAKIR
1,Tunis 1,1010,Sidi Hassine,1094,E.P.EL JAYARA 2
1,Tunis 1,1010,Sidi Hassine,1096,E.P.EL FATH
1,Tunis 1,1010,Sidi Hassine,1097,E.P.SEJOUMI -20 MARS
1,Tunis 1,1010,Sidi Hassine,1090,E.P.SIDI HASSINE 3
1,Tunis 1,1010,Sidi Hassine,1091,E.P.ECHEBI CITE MRAD El Jaiara
1,Tunis 1,1010,Sidi Hassine,1092,E.P.CITE BOUGATFA -JAYARA
1,Tunis 1,1010,Sidi Hassine,1093,E.P.EL JAYARA 1
1,Tunis 1,1010,Sidi Hassine,1101,E.P.ABDALLAH ELMAYOU MGHIRA
1,Tunis 1,1010,Sidi Hassine,1098,E.P.CITE 20 MARS SIJOUMI
1,Tunis 1,1010,Sidi Hassine,1099,E.P.BIRINE
1,Tunis 1,1010,Sidi Hassine,1089,E.P.SIDI HASSINE 2
1,Tunis 1,1010,Sidi Hassine,1088,E.P.SIDI HASSINE 1
1,Tunis 1,1010,Sidi Hassine,1104,E.P.OMAR EL MOKHTAR -25 JUILLET
1,Tunis 1,1010,Sidi Hassine,1102,E.P.SIDI HASSINE 4 -MGHIRA ENZEL
1,Tunis 1,1010,Sidi Hassine,1103,E.P.CITE EL MONGI SLIM MGHIRA ENZEL
1,Tunis 1,1010,Sidi Hassine,1095,E.P.ATTAR
1,Tunis 1,1010,Sidi Hassine,1100,E.P.MGHIRA ENZEL
1,Tunis 1,1009,Sidi El Béchir,1086,E.P.CITE HILAL 2
1,Tunis 1,1009,Sidi El Béchir,1085,E.P.CITE HILAL 1 SAIDA MANOUBIA
1,Tunis 1,1009,Sidi El Béchir,1084,E.P.APP.RUE DES SAVANTS ABOUKACEM CHEBBI
1,Tunis 1,1009,Sidi El Béchir,1083,E.P.RUE ALI DOUAGI MONTFLEURI -A. CHEBBI
1,Tunis 1,1009,Sidi El Béchir,1082,E.P.RUE DU SAHEL  -FARHAT HACHED
1,Tunis 1,1009,Sidi El Béchir,1081,E.P. R. KARABAKA MONFLEURI -FARHATHACHED
1,Tunis 1,1008,Djebel Jelloud,1078,E.P.ROUTE LACAGNA JBEL JLOUD -ELGARJOUMA
1,Tunis 1,1008,Djebel Jelloud,1080,E.P.SIDIFATHALLA2 JBEL JLOUD -C. ELFATEH
1,Tunis 1,1008,Djebel Jelloud,1076,E.P.RUE H-LIF J JELOUD
1,Tunis 1,1008,Djebel Jelloud,1077,E.P. R. PHILIPE VILLE JBELJLOUD -B.HAMBA
1,Tunis 1,1008,Djebel Jelloud,1075,E.P. C. THAMER JBEL JLOUD -SIDIFATHALLAH
1,Tunis 1,1008,Djebel Jelloud,1079,E.P.SIDI FATHALLAH 1 -CITE ELFATEH
1,Tunis 1,1007,Bab Souika,1074,E.P.55 RUE BAB SOUIKA
1,Tunis 1,1007,Bab Souika,1072,E.P.RUE DES ARCS BEB SAADOUN
1,Tunis 1,1007,Bab Souika,1073,E.P.SIDI ALOUI -EL HALFAOUINE
1,Tunis 1,1007,Bab Souika,1071,E.P.3 RUE KELIBIA -BAB KHADRA
1,Tunis 1,1006,Bab El Bhar,1069,"E.P.12,RUE ALI JELILI -HEDI CHAKER"
1,Tunis 1,1006,Bab El Bhar,1068,E.P.29 RUE DE MARSEILLE
1,Tunis 1,1006,Bab El Bhar,1063,E.P.RUE CHARLES DE GAULLE Bab Bhar
1,Tunis 1,1006,Bab El Bhar,1065,E.P.16 RUE DE RUSSIE -BAB BHAR
1,Tunis 1,1006,Bab El Bhar,1064,E.P.17 RUE DE RUSSIE
1,Tunis 1,1006,Bab El Bhar,1067,E.P.80 RUE ABED RAZEK CHRAIBI LAC TUNIS
1,Tunis 1,1006,Bab El Bhar,1066,E.P.18 RUE DE L'INDE -LES JARDINS
1,Tunis 1,1006,Bab El Bhar,1070,E.P.16 RUE EL IDRISSI -SIDI ELBAHRI
1,Tunis 1,1005,El Ouardia,1056,E.P.EL WAFA RUE SALAH MALKI -OUARDIA
1,Tunis 1,1005,El Ouardia,1057,E.P.RUE KHARROUBA -HABIB BOUGATFA
1,Tunis 1,1005,El Ouardia,1058,E.P.CITE IZDIHAR -OURDIA
1,Tunis 1,1005,El Ouardia,1059,E.P.2 MARS MONFOCON LA CANIA -IZDIHAR
1,Tunis 1,1005,El Ouardia,1062,E.P.RUE DE LA SOMME -SIDIBELHASSEN
1,Tunis 1,1005,El Ouardia,1061,E.P.CITE MED ALI
1,Tunis 1,1005,El Ouardia,1060,E.P.EL OUARDIA 1 -CITE MOHAMED ALI
1,Tunis 1,1004,Médina,1050,E.P.7 RUE DOCTEUR CASSAR
1,Tunis 1,1004,Médina,1051,E.P.RUE EL MARR BEB MNARA
1,Tunis 1,1004,Médina,1052,E.P.PLACE LEADER -BAB MNARA
1,Tunis 1,1004,Médina,1053,E.P.BAB JEDID -TOURBIT ELBEY
1,Tunis 1,1004,Médina,1054,E.P.RUE KOTTAB LOUZIR -SIDI ALI AZOUZ
1,Tunis 1,1004,Médina,1055,E.P.SADIKI RUE SINAN PACHA TAOUFIK
1,Tunis 1,1003,El Kabaria,1043,E.P.EL IMTIEZ IBN SINA 6-1
1,Tunis 1,1003,El Kabaria,1042,E.P.IBN SINA 2 - IBN SINA 1
1,Tunis 1,1003,El Kabaria,1041,E.P.IBN SINA 1
1,Tunis 1,1003,El Kabaria,1040,E.P.CITE ENNOUR 2 -CITE ENNOUR
1,Tunis 1,1003,El Kabaria,1047,E.P.MOUROUJE 2 IBN KHALDOUN
1,Tunis 1,1003,El Kabaria,1046,E.P.EN'NAJMA EZAHRA IBNSINA2
1,Tunis 1,1003,El Kabaria,1045,E.P.IBN SINA 6/3 -IBN SINA 2
1,Tunis 1,1003,El Kabaria,1044,E.P.MED ElMESADI(IBN SINA 6-2)
1,Tunis 1,1003,El Kabaria,1049,E.P.EL HANA EL MOUROUJ 2
1,Tunis 1,1003,El Kabaria,1048,E.P.MOUROUJE 2 -EL GHAZALI
1,Tunis 1,1003,El Kabaria,1038,E.P. CITE MUNICIPALITE KABARIA 4
1,Tunis 1,1003,El Kabaria,1039,E.P.CITE ENNOUR 1 CITE ENNOUR
1,Tunis 1,1003,El Kabaria,1032,E.P.KABARIA  1
1,Tunis 1,1003,El Kabaria,1033,E.P.OUARDIA  2 -KABARIA2
1,Tunis 1,1003,El Kabaria,1036,E.P.KABARIA  4
1,Tunis 1,1003,El Kabaria,1037,E.P.KABARIA  5 - KABARIA 4
1,Tunis 1,1003,El Kabaria,1034,E.P.OUARDIA  6 -KABARIA3
1,Tunis 1,1003,El Kabaria,1035,E.P.KABARIA  3
1,Tunis 1,1002,Séjoumi,1030,E.P.EN'NAJEH MALLASSINE
1,Tunis 1,1002,Séjoumi,1031,E.P.BAB KHALED MALLASSINE -ENNAJEH
1,Tunis 1,1002,Séjoumi,1029,E.P.2 MARS 34 MALLASSINE -ALI BELHOUANE
1,Tunis 1,1001,Ezzouhour,1025,E.P.CITE TAYARANE 2
1,Tunis 1,1001,Ezzouhour,1024,E.P.CITE TAYARANE 1  -CITE TAYARANE
1,Tunis 1,1001,Ezzouhour,1027,E.P.BACH HAMBA 2
1,Tunis 1,1001,Ezzouhour,1026,E.P.CITE TAYARANE 3   -CITE TAYARANE
1,Tunis 1,1001,Ezzouhour,1021,E.P.ZOUHOUR 4 RUE 4200 -ZOUHOUR 4
1,Tunis 1,1001,Ezzouhour,1020,E.P.Rue ROMARIN CITE EZZOUHOUR 1
1,Tunis 1,1001,Ezzouhour,1023,E.P.SOMRANE RUE 4137
1,Tunis 1,1001,Ezzouhour,1022,E.P.AMMARIA RUE 4157 SAADA
1,Tunis 1,1001,Ezzouhour,1028,E.P.CITE BEN SDIRA BECH HANBA
1,Tunis 1,1000,Hraïria,1019,E.P.CITE ESSALAMA EZZAHROUNI
1,Tunis 1,1000,Hraïria,1017,E.P.18 JANVIER HRAIRIA EZZAHROUNI
1,Tunis 1,1000,Hraïria,1016,E.P.C. BOUZAIEN EZOUHOUR -TAREK IBN ZIED
1,Tunis 1,1000,Hraïria,1015,E.P.CITE FOLLA
1,Tunis 1,1000,Hraïria,1010,E.P.MECHTEL 1 -AGBA
1,Tunis 1,1000,Hraïria,1011,E.P.MECHTEL 2 AGBA
1,Tunis 1,1000,Hraïria,1014,E.P.CITE EL ANTIT
1,Tunis 1,1000,Hraïria,1018,E.P.EZZAHROUNI
1,Tunis 1,1000,Hraïria,1012,E.P.CITE ESSAHA HRAIRIA AGBA SUP
1,Tunis 1,1000,Hraïria,1009,E.P.OKBA IBN NAFAA 1
1,Tunis 1,1000,Hraïria,1008,E.P.CITE ZOUHOUR 5-2
